title,view,timeline,youtuber,genre,thumbnail
패션전문가가 알려주는 키 커보이는 법 (ft.제니가 키가 커보이는 이유)//셜록뷰티🔎,800000,8개월 전,셜록뷰티 - 아름다움은 과학이다,패션,https://i.ytimg.com/vi/zI8Z02WZJ24/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDpR9PJG1pLBvfCwxoA-qQ62hLMHw
Fendi | Resort 2023 | Fashion Show,780000,1개월 전,Runway Collections,패션,https://i.ytimg.com/vi/xZ2tCTuJI5E/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB2-BTYbbRA44FwaS1X6ZhQV4qydA
진짜 일진이 나타났다..😲 진짜 애들 무섭닼ㅋㅋㅋㅋㅋㅋ,740000,3개월 전,쩡대의 패션하우스,패션,https://i.ytimg.com/vi/Jb_k9Qgun4o/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC8g-mMIPyqvRcRoNV7WsezkaZvvA
이렇게 입지마세요..한 끗 차이로 내 옷이 저렴해보이는 이유🥺,740000,10개월 전,AliceFunk 앨리스펑크,패션,https://i.ytimg.com/vi/o3wUMfUul1Y/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCqN41Z9j9qUVoZNQkoXT470fD7Og
남자들이 좋아하는 여자 패션템,730000,9개월 전,오피니언,패션,https://i.ytimg.com/vi/G__Q8hrWcfw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCqXk80pXZK_EshGNhs63HHdBChCA
옷 찐따처럼 입는 패션고자 친구 옷 전부다 파괴시키기 ㅋㅋㅋㅋㅋ,730000,4개월 전,더블비,패션,https://i.ytimg.com/vi/jvs8Hv3CLNw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCLO9ASSxUjI1UEcG9qIQhSjJZeYg
"[복학생 vlog] 연애 45일차💕 패션 이과의 상견례 브이로그(강의실 프로포즈, 스파르타코딩클럽, 피시방 데이트, 고부갈등, 혼수 준비, 팀플 레전드 발표)",710000,2개월 전,빠더너스 BDNS,패션,https://i.ytimg.com/vi/L5HrKY8T_jU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAq6kj-ZBN74yWnWjMrdhpuCYtYWw
20대 여직원 패션대결! ㅗㅜㅑ... 과연 승자는?,690000,6개월 전,핫도그,패션,https://i.ytimg.com/vi/al7KhgJ9J0M/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLApX3AaSxl_tHoYB75BuNt_tGDy6g
[휴먼시네마] 일진들의 패션,690000,6개월 전,별놈들,패션,https://i.ytimg.com/vi/Xks8V2yb7HI/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCXtKHfRfFNeoZ-78pofIp3DYYrPQ
"올 가을은 작년처럼 절대 입지 마세요! ❌ 이제 옷 잘 입으려면 000를 추가해야 합니다. 이번 가을, 겨울엔 옷 이렇게 입으시면 돼요. _ 2022 FW 패션트렌드",680000,2개월 전,메리지히_MerryJihee,패션,https://i.ytimg.com/vi/KqNsscUnT4w/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDo6O7urwduJITJc7x56u7rLqmggA
대한민국 씹어먹다가 떡락한 패션브랜드들,670000,7개월 전,속풀이짬뽕알뜰세트,패션,https://i.ytimg.com/vi/x8uHKO7_Jew/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBAFdUoJFrbpy8-pUBh5sgBwiVsWw
브레드이발소3 | 본편 21화 | 패션왕 브레드 | 애니메이션/만화/디저트/animation/cartoon/dessert,670000,1개월 전,브레드이발소,패션,https://i.ytimg.com/vi/EVFfc-pggbM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCEYHs3TrV3G_2BCxBYbGEt8lxcIw
"김건희 vs 김정숙 패션 비교, 영부인의 패션",660000,7개월 전,이슈탱천,패션,https://i.ytimg.com/vi/Gzkz3nwmwTs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLADGD-6iYcUSI5HLPd0Z6YPSKw5_w
명품 없이 고급스럽게 옷 입는 법! 간절기 코디 꿀팁✨ 【펄이지엥】,650000,2개월 전,펄이지엥 Pearlysien,패션,https://i.ytimg.com/vi/yjhnC7Q_nEw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAPiCMk3mEcz3xcg3GIBXW-wnu8-w
내 입맛대로 배우자 옷 입히는 패션 하울,650000,5개월 전,해쭈 [HAEJOO],패션,https://i.ytimg.com/vi/odA6ypBHYfg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBXUBzDxj-mTaxFIcEJaD8at8-0zA
"돈 안 쓰고 잘 입고 싶을때✔️무조건 참고하는 클래식 패피들! 기본템 활용, 요즘 스타일까지💚",650000,7개월 전,AliceFunk 앨리스펑크,패션,https://i.ytimg.com/vi/IOt5FR3T--0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC3VEYRRMLdAF_kKdr9E7S7bseCeQ
