title,view,timeline,youtuber,genre,thumbnail
[VLOG] 술과 물이 전부인 호캉스 브이로그💕👙 | 풀빌라 호캉스 | 비키니 | 명동,1370000,10개월 전,한갱,브이로그,https://i.ytimg.com/vi/g2qhw2_D0Dw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA-0juCpZ8F0aCGrJRjkoqRzgjniQ
졸업이 임박한 일본 고등학교 브이로그🎓 2달만에 만난 일본 친구들,1360000,8개월 전,민조엥minjoeng,브이로그,https://i.ytimg.com/vi/KMG3HuUuC8Q/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCIBJFfxxNg4G6RWTkA9N2gM8BpIQ
"eng) vlog * 피시방 알바 브이로그 | 📢아아,, 여러분 벌써 제가 일한 지 한 달이 됐어요!!!!",1340000,8개월 전,도민이,브이로그,https://i.ytimg.com/vi/zY2DFb6xmMI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTfkfJjFUxJ71ZrOXpFS7uRxaDFg
[FIM-LOG] 윤진 브이로그 #2 l 긍정 에너지 뿜뿜 윤진이의 브이로그🎵📚🤓,1320000,4개월 전,LE SSERAFIM,브이로그,https://i.ytimg.com/vi/6TpnaXECp-8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC3KwpcOPeONW6_xhnK33cNES5Z-w
"[복학생 vlog] 레전드 전신 성형 존잘남 브이로그 (병원 추천, 붓기 빼는 법, 남자 코성형, 윤곽, 호박즙, 지방흡입, 환골탈퇴, 외모지상주의, 비트코인, 일수)",1290000,8개월 전,빠더너스 BDNS,브이로그,https://i.ytimg.com/vi/nQR67H5jI0Y/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCHxd_RVEwmNYqb1ZpcOAjuoLtU-w
돌싱 브이로그,1260000,3개월 전,강유미 yumi kang좋아서 하는 채널,브이로그,https://i.ytimg.com/vi/2iqFPCBjKw0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB54pYoKv28GGkWISxilUN6Z90Aiw
장원영 in 파리 ep.2💖 러블리 수치 10000% 인생 첫 파리 여행 브이로그✨ (센강 산책 | 쇼핑 | 젤라또 맛집 | 하이 주얼리 뷰잉) | VOGUE MEETS,1240000,2개월 전,VOGUE KOREA,브이로그,https://i.ytimg.com/vi/gtcAQ78mlZU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBbiF88ONiVpXGzoqPemZd35mPk5w
eng) vlog * 피시방 알바 브이로그 | 다 울었으면 할 일을 하자....,1230000,7개월 전,도민이,브이로그,https://i.ytimg.com/vi/sVxWR9T4M3c/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCGpEoaLKLZDsBhCoZUp4nXXAZmgA
VLOG | 유기묘 구조 브이로그 | 집앞에서 말 많은 고양이를 주웠다••😮‍💨 (임시보호•첫 목욕하기•동물병원 검진),1220000,4개월 전,김시카,브이로그,https://i.ytimg.com/vi/HtwHfeJqlL4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC2PfGxeVBpX6xTyTr_x7Uvsn3JKg
Coachella의 aespa 🌴☁️ | LA 브이로그,1200000,6개월 전,aespa,브이로그,https://i.ytimg.com/vi/HRPApTCJ2z8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLChEgGMU6RECRj_5PN79DZxTsd84Q
